,Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
13823,0.41,0.0,0.72,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.93,pos hp,mother
13824,0.38,0.0,0.73,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.68,pos hp,motherland
13825,0.32,0.0,0.71,POSITIVE,ADV,ADV,ADJ,1.0,0.0,0.93,pos hp,motherly
13826,0.48,0.0,0.53,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.69,pos hp,motif
13827,0.41,0.0,0.65,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.7,pos hp,mountain
13828,0.43,0.0,0.57,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.77,pos hp,mountains
13829,0.47,0.0,0.7,POSITIVE,ADJ,PROPN,NOUN,1.0,0.2,0.5,pos hp,multilateral
13830,0.39,0.0,0.61,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.61,pos hp,multimedia
13831,0.49,0.0,0.78,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.68,pos hp,multiplicity
13832,0.32,0.0,0.7,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.8,pos hp,mum
13833,0.39,0.0,0.76,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.62,pos hp,municipal
13834,0.28,0.0,0.61,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.57,pos hp,municipality
13835,0.43,0.0,0.58,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.53,pos hp,muscular
13836,0.36,0.0,0.51,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.76,pos hp,muse
13837,0.43,0.0,0.57,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.71,pos hp,muses
13838,0.46,0.0,0.55,POSITIVE,NOUN,NOUN,VERB,1.0,0.0,0.64,pos hp,muster
13839,0.49,0.0,0.58,POSITIVE,ADV,ADV,ADV,1.0,0.0,0.84,pos hp,mutually
